00 SendProtocolVersion
01 MoveBackwardToLocation
02 Say
03 RequestEnterWorld
04 Action
08 RequestLogin
09 SendLogOut
0A RequestAttack
0B RequestCharacterCreate
0C RequestCharacterDelete
0D RequestGameStart
0E RequestNewCharacter
0F RequestItemList
10 RequestEquipItem
11 RequestUnEquipItem
12 RequestDropItem
14 RequestUseItem
15 RequestTrade
16 RequestAddTradeItem
17 TradeDone
1A RequestTeleport
1B SocialAction
1C ChangeMoveType
1D ChangeWaitType
1E RequestSellItem
1F RequestBuyItem
20 RequestLinkHtml
21 RequestBypassToServer
22 RequestBBSWrite
23 RequestCreatePledge
24 RequestJoinPledge
25 RequestAnswerJoinPledge
26 RequestWithDrawalPledge
27 RequestOustPledgeMember
28 RequestDismissPledge
29 RequestJoinParty
2A RequestAnswerJoinParty
2B RequestWithDrawalParty
2C RequestOustPartyMember
2D RequestDismissParty
2E UserAck
2F RequestMagicSkillUse
30 SendAppearing
31 SendWareHouseDepositList
32 SendWareHouseWithdrawList
33 RequestShortCutReg
34 RequestShortCutUse
35 RequestShortCutDel
36 CanNotMoveAnymore
37 RequestTargetCancel
38 Say2
3C RequestPledgeMemberList
3E RequestMagicList
3F RequestSkillList
41 MoveWithDelta
42 GetOnVehicle
43 GetOffVehicle
44 AnswerTradeRequest
45 RequestActionUse
46 RequestRestart
47 RequestSiegeInfo
48 ValidateLocation
49 RequestSEKCustom
4A StartRotating
4B FinishRotating
4D RequestStartPledgeWar
4E RequestReplyStartPledgeWar
4F RequestStopPledgeWar
50 RequestReplyStopPledgeWar
51 RequestSurrenderPledgeWar
52 RequestReplySurrenderPledgeWar
53 RequestSetPledgeCrest
55 RequestGiveNickName
57 RequestShowboard
58 RequestEnchantItem
59 RequestDestroyItem
5B SendBypassBuildCmd
5C MoveToLocationInVehicle
5D CanNotMoveAnymore(Vehicle)
5E RequestFriendInvite
5F RequestFriendAddReply
60 RequestFriendInfoList
61 RequestFriendDel
62 RequestCharacterRestore
63 RequestQuestList
64 RequestDestroyQuest
66 RequestPledgeInfo
67 RequestPledgeExtendedInfo
68 RequestPledgeCrest
69 RequestSurrenderPersonally
6A RequestRide
6B RequestAcquireSkillInfo
6C RequestAcquireSkill
6D RequestRestartPoint
6E RequestGMCommand
6F RequestListPartyWaiting
70 RequestManagePartyRoom
71 RequestJoinPartyRoom
72 RequestCrystallizeItem
73 RequestPrivateStoreSellManageList
74 SetPrivateStoreSellList
75 RequestPrivateStoreSellManageCancel
76 RequestPrivateStoreSellQuit
77 SetPrivateStoreSellMsg
79 SendPrivateStoreBuyList
7A RequestReviveReply
7B RequestTutorialLinkHtml
7C RequestTutorialPassCmdToServer
7D RequestTutorialQuestionMarkPressed
7E RequestTutorialClientEvent
7F RequestPetition
80 RequestPetitionCancel
81 RequestGMList
82 RequestJoinAlly
83 RequestAnswerJoinAlly
84 RequestWithdrawAlly
85 RequestOustAlly
86 RequestDismissAlly
87 RequestSetAllyCrest
88 RequestAllyCrest
89 RequestChangePetName
8A RequestPetUseItem
8B RequestGiveItemToPet
8C RequestGetItemFromPet
8E RequestAllyInfo
8F RequestPetGetItem
90 RequestPrivateStoreBuyManageList
91 SetPrivateStoreBuyList
93 RequestPrivateStoreBuyManageQuit
94 SetPrivateStoreBuyMsg
96 SendPrivateStoreSellList
97 SendTimeCheck
98 RequestStartAllianceWar
99 ReplyStartAllianceWar
9A RequestStopAllianceWar
9B ReplyStopAllianceWar
9C RequestSurrenderAllianceWar
9D RequestSkillCoolTime
9E RequestPackageSendableItemList
9F RequestPackageSend
A0 RequestBlock
A1 RequestCastleSiegeInfo
A2 RequestCastleSiegeAttackerList
A3 RequestCastleSiegeDefenderList
A4 RequestJoinCastleSiege
A5 RequestConfirmCastleSiegeWaitingList
A6 RequestSetCastleSiegeTime
A7 RequestMultiSellChoose
A8 NetPing
A9 RequestRemainTime
AA BypassUserCmd
AB GMSnoopEnd
AC RequestRecipeBookOpen
AD RequestRecipeItemDelete
AE RequestRecipeItemMakeInfo
AF RequestRecipeItemMakeSelf
B0 RequestRecipeShopManageList
B1 RequestRecipeShopMessageSet
B2 RequestRecipeShopListSet
B3 RequestRecipeShopManageQuit
B4 RequestRecipeShopManageCancel
B5 RequestRecipeShopMakeInfo
B6 RequestRecipeShopMakeDo
B7 RequestRecipeShopSellList
B8 RequestObserverEnd
B9 VoteSociality
BA RequestHennaItemList
BB RequestHennaItemInfo
BC RequestHennaEquip
BD RequestHennaUnequipList
BE RequestHennaUnequipInfo
BF RequestHennaUnequip
C0 RequestPledgePower
C1 RequestMakeMacro
C2 RequestDeleteMacro
C3 RequestProcureCrop
C4 RequestBuySeed
C5 ConfirmDlg
C6 RequestPreviewItem
C7 RequestSSQStatus
C8 PetitionVote
CA ReplyGameGuardQuery
CC RequestSendL2FriendSay
CD RequestOpenMinimap
CE RequestSendMsnChatLog
CF RequestReload
D0:01 RequestOustFromPartyRoom
D0:02 RequestDismissPartyRoom
D0:03 RequestWithdrawPartyRoom
D0:04 RequestHandOverPartyMaster
D0:05 RequestAutoSoulShot
D0:06 RequestExEnchantSkillInfo
D0:07 RequestExEnchantSkill
D0:08 RequestManorList
D0:09 RequestProcureCropList
D0:0A RequestSetSeed
D0:0B RequestSetCrop
D0:0C RequestWriteHeroWords
D0:0D RequestExAskJoinMPCC
D0:0E RequestExAcceptJoinMPCC
D0:0F RequestExOustFromMPCC
D0:10 RequestExPledgeCrestLarge
D0:11 RequestExSetPledgeCrestLarge
D0:12 RequestOlympiadObserverEnd
D0:13 RequestOlympiadMatchList
D0:14 RequestAskJoinPartyRoom
D0:15 AnswerJoinPartyRoom
D0:16 RequestListPartyMatchingWaitingRoom
D0:17 RequestExitPartyMatchingWaitingRoom
D0:18 RequestGetBossRecord
D0:19 RequestPledgeSetAcademyMaster
D0:1A RequestPledgePowerGradeList
D0:1B RequestPledgeMemberPowerInfo
D0:1C RequestPledgeSetMemberPowerGrade
D0:1D RequestPledgeMemberInfo
D0:1E RequestPledgeWarList
D0:1F RequestExFishRanking
D0:20 RequestPCCafeCouponUse
D0:22 RequestCursedWeaponList
D0:23 RequestCursedWeaponLocation
D0:24 RequestPledgeReorganizeMember
D0:26 RequestExMPCCShowPartyMembersInfo
D0:27 RequestDuelStart
D0:28 RequestDuelAnswerStart
D0:29 RequestConfirmTargetItem
D0:2A RequestConfirmRefinerItem
D0:2B RequestConfirmGemStone
D0:2C RequestRefine
D0:2D RequestConfirmCancelItem
D0:2E RequestRefineCancel
D0:2F RequestExMagicSkillUseGround
D0:30 RequestDuelSurrender
D0:31 RequestExChangeName
