00 VersionCheck
01 MoveToLocation
02 NpcSay
03 CharInfo
04 UserInfo
05 Attack
06 Die
07 Revive
08 AttackOutofRange
09 AttackinCoolTime
0A AttackDeadTarget
0B SpawnItem
0C DropItem
0D GetItem
0E StatusUpdate
0F NpcHtmlMessage
10 SellList
11 BuyList
12 DeleteObject
13 CharacterSelectionInfo
14 LoginFail
15 CharacterSelected
16 NpcInfo
17 NewCharacterSuccess
18 NewCharacterFail
19 CharacterCreateSuccess
1A CharacterCreateFail
1B ItemList
1C SunRise
1D SunSet
1E TradeStart
1F TradeStartOk
20 TradeOwnAdd
21 TradeOtherAdd
22 TradeDone
23 CharacterDeleteSuccess
24 CharacterDeleteFail
25 ActionFail
26 ServerClose
27 InventoryUpdate
28 TeleportToLocation
29 TargetSelected
2A TargetUnselected
2B AutoAttackStart
2C AutoAttackStop
2D SocialAction
2E ChangeMoveType
2F ChangeWaitType
30 ManagePledgePower
31 CreatePledge
32 AskJoinPledge
33 JoinPledge
34 WithdrawalPledge
35 OustPledgeMember
36 SetOustPledgeMember
37 DismissPledge
38 SetDismissPledge
39 AskJoinParty
3A JoinParty
3B WithdrawalParty
3C OustPartyMember
3D SetOustPartyMember
3E DismissParty
3F SetDismissParty
40 UserAck
41 WareHouseDepositList
42 WareHouseWithdrawList
43 WareHouseDone
44 ShortCutRegister
45 ShortCutInit
46 ShortCutDelete
47 StopMove
48 MagicSkillUse
49 MagicSkillCanceled
4A Say2
4B EquipUpdate
4C DoorInfo
4D DoorStatusUpdate
4E PartySmallWindowAll
4F PartySmallWindowAdd
50 PartySmallWindowDeleteAll
51 PartySmallWindowDelete
52 PartySmallWindowUpdate
53 PledgeShowMemberListAll
54 PledgeShowMemberListUpdate
55 PledgeShowMemberListAdd
56 PledgeShowMemberListDelete
57 MagicList
58 SkillList
59 VehicleInfo
5A VehicleDeparture
5B VehicleCheckLocation
5C GetOnVehicle
5D GetOffVehicle
5E TradeRequest
5F RestartResponse
60 MoveToPawn
61 ValidateLocation
62 StartRotating
63 FinishRotating
64 SystemMessage
65 StartPledgeWar
66 ReplyStartPledgeWar
67 StopPledgeWar
68 ReplyStopPledgeWar
69 SurrenderPledgeWar
6A ReplySurrenderPledgeWar
6B SetPledgeCrest
6C PledgeCrest
6D SetupGauge
6E ShowBoard
6F ChooseInventoryItem
70 Dummy_70
71 MoveToLocationInVehicle
72 StopMoveInVehicle
73 ValidateLocationInVehicle
74 TradeUpdate
75 TradePressOwnOk
76 MagicSkillLaunched
77 FriendAddRequestResult
78 FriendAdd
79 FriendRemove
7A FriendList
7B FriendStatus
7C TradePressOtherOk
7D FriendAddRequest
7E LogOutOk
7F AbnormalStatusUpdate
80 QuestList
81 EnchantResult
82 PledgeShowMemberListDeleteAll
83 PledgeInfo
84 PledgeExtendedInfo
85 SurrenderPersonally
86 Ride
87 GiveNickNameDone
88 PledgeShowInfoUpdate
89 ClientAction
8A AcquireSkillList
8B AcquireSkillInfo
8C ServerObjectInfo
8D GMHide
8E AcquireSkillDone
8F GMViewCharacterInfo
90 GMViewPledgeInfo
91 GMViewSkillInfo
92 GMViewMagicInfo
93 GMViewQuestInfo
94 GMViewItemList
95 GMViewWarehouseWithdrawList
96 ListPartyWaiting
97 PartyRoomInfo
98 PlaySound
99 StaticObject
9A PrivateStoreSellManageList
9B PrivateStoreSellList
9C PrivateStoreSellMsg
9D ShowMinimap
9E ReviveRequest
9F AbnormalVisualEffect
A0 TutorialShowHtml
A1 ShowTutorialMark
A2 TutorialEnableClientEvent
A3 TutorialCloseHtml
A4 ShowRadar
A5 DeleteRadar
A6 MyTargetSelected
A7 PartyMemberPosition
A8 AskJoinAlliance
A9 JoinAlliance
AA WithdrawAlliance
AB OustAllianceMemberPledge
AC DismissAlliance
AD SetAllianceCrest
AE AllianceCrest
AF ServerCloseSocket
B0 PetStatusShow
B1 PetInfo
B2 PetItemList
B3 PetInventoryUpdate
B4 AllianceInfo
B5 PetStatusUpdate
B6 PetDelete
B7 PrivateStoreBuyManageList
B8 PrivateStoreBuyList
B9 PrivateStoreBuyMsg
BA VehicleStart
BB RequestTimeCheck
BC StartAllianceWar
BD ReplyStartAllianceWar
BE StopAllianceWar
BF ReplyStopAllianceWar
C0 SurrenderAllianceWar
C1 SkillCoolTime
C2 PackageToList
C3 PackageSendableList
C4 EarthQuake
C5 FlyToLocation
C6 BlockList
C7 SpecialCamera
C8 NormalCamera
C9 CastleSiegeInfo
CA CastleSiegeAttackerList
CB CastleSiegeDefenderList
CC NickNameChanged
CD PledgeStatusChanged
CE RelationChanged
CF EventTrigger
D0 MultiSellList
D1 SetSummonRemainTime
D2 SkillRemainSec
D3 NetPing
D4 Dice
D5 Snoop
D6 RecipeBookItemList
D7 RecipeItemMakeInfo
D8 RecipeShopManageList
D9 RecipeShopSellList
DA RecipeShopItemInfo
DB RecipeShopMsg
DC ShowCalc
DD MonRaceInfo
DE ShowTownMap
DF ObserverStart
E0 ObserverEnd
E1 ChairSit
E2 HennaEquipList
E3 HennaItemInfo
E4 HennaInfo
E5 HennaUnequipList
E6 HennaUnequipInfo
E7 MacroList
E8 BuyListSeed
E9 SellListProcure
EA GMHennaInfo
EB RadarControl
EC ClientSetTime
ED ConfirmDlg
EE PartySpelled
EF ShopPreviewList
F0 ShopPreviewInfo
F1 CameraMode
F2 ShowXMasSeal
F3 EtcStatusUpdate
F4 ShortBuffStatusUpdate
F5 SSQStatus
F6 PetitionVote
F7 AgitDecoInfo
F8 SSQInfo
F9 GameGuardQuery
FA L2FriendList
FB L2Friend
FC L2FriendStatus
FD L2FriendSay
FE:01 ExRegenMax
FE:02 ExEventMatchList
FE:03 ExEventMatchObserver
FE:04 ExEventMatchMessage
FE:05 ExEventMatchScore
FE:06 ExEventMatchTeamInfo
FE:07 ExEventMatchCreate
FE:08 ExEventMatchUserInfo
FE:09 ExColosseumFenceInfo
FE:0A ExEventMatchSpelledInfo
FE:0B ExEventMatchFirecracker
FE:0C ExEventMatchTeamUnlocked
FE:0D ExEventMatchGMTest
FE:0E ExPartyRoomMember
FE:0F ExClosePartyRoom
FE:10 ExManagePartyRoomMember
FE:11 ExEventMatchLockResult
FE:12 ExAutoSoulShot
FE:13 ExFishingStart
FE:14 ExFishingEnd
FE:15 ExFishingStartCombat
FE:16 ExFishingHpRegen
FE:17 ExEnchantSkillList
FE:18 ExEnchantSkillInfo
FE:19 ExShowQuestInfo
FE:1A ExShowQuestMark
FE:1B ExSendManorList
FE:1C ExShowSeedInfo
FE:1D ExShowCropInfo
FE:1E ExShowManorDefaultInfo
FE:1F ExShowSeedSetting
FE:20 ExShowCropSetting
FE:21 ExShowSellCropList
FE:22 ExShowProcureCropDetail
FE:23 ExHeroList
FE:24 ExServerPrimitive
FE:25 ExOpenMPCC
FE:26 ExCloseMPCC
FE:27 ExAskJoinMPCC
FE:28 ExPledgeEmblem
FE:29 ExOlympiadUserInfo
FE:2A ExOlympiadSpelledInfo
FE:2B ExOlympiadMode
FE:2C ExOlympiadMatchEnd
FE:2D ExMailArrived
FE:2E ExStorageMaxCount
FE:2F ExEventMatchManage
FE:30 ExMultiPartyCommandChannelInfo
FE:31 ExPCCafePointInfo
FE:32 ExSetCompassZoneCode
FE:33 ExGetBossRecord
FE:34 ExAskJoinPartyRoom
FE:35 ExListPartyMatchingWaitingRoom
FE:36 ExSetMpccRouting
FE:37 ExShowAdventurerGuideBook
FE:38 ExShowScreenMessage
FE:39 PledgeSkillList
FE:3A PledgeSkillListAdd
FE:3B PledgePowerGradeList
FE:3C PledgeReceivePowerInfo
FE:3D PledgeReceiveMemberInfo
FE:3E PledgeReceiveWarList
FE:3F PledgeReceiveSubPledgeCreated
FE:40 ExRedSky
FE:41 PledgeReceiveUpdatePower
FE:42 FlySelfDestination
FE:43 ShowPCCafeCouponShowUI
FE:44 ExSearchOrc
FE:45 ExCursedWeaponList
FE:46 ExCursedWeaponLocation
FE:47 ExRestartClient
FE:48 ExRequestHackShield
FE:49 ExUseSharedGroupItem
FE:4A ExMPCCShowPartyMemberInfo
FE:4B ExDuelAskStart
FE:4C ExDuelReady
FE:4D ExDuelStart
FE:4E ExDuelEnd
FE:4F ExDuelUpdateUserInfo
FE:50 ExShowVariationMakeWindow
FE:51 ExShowVariationCancelWindow
FE:52 ExPutItemResultForVariationMake
FE:53 ExPutIntensiveResultForVariationMake
FE:54 ExPutCommissionResultForVariationMake
FE:55 ExVariationResult
FE:56 ExPutItemResultForVariationCancel
FE:57 ExVariationCancelResult
FE:58 ExDuelEnemyRelation
FE:59 ExPlayAnimation
